CODE,Q1,A1,P/F,Q2
38,지질학에 대해 설명해 주세요.,"지각 내부의 지질구조를 밝혀, 그 형성메커니즘을 추적하는 구조지질학, 해저의 지질현상을 다루는 해양지질학 분야도 있습니다. 지층의 분포와 상하관계를 밝히는 층서학은 지층 중의 화석을 연구대상으로 하는 고생물학과 더불어 지각의 역사를 연구하는 지사학의 한 분과를 이룹니다.",P,층서학에 대해 설명해 주세요.
38,지질학에 대해 설명해 주세요.,"지질학이 다루는 분야는 매우 포괄적이고 지질학을 연구하는 사람마다 지질에 대한 생각도 각가이기에 그 정의를 내리기 어렵다 그래도 지질학이 무엇인지 정의해보자면 땅 위에 있는 현상의 다양성, 상호연관성 등을 연구하는 학문이라고 정의할 수 있다.",F,
38,지질학에 대해 설명해 주세요.,"땅의 원리를 연구하는 학문으로 지질학에서 다루는 지식은 보편적이며, 인류의 문명과 그 역사를 같이한다. 인간의 삶 자체가 지질학적인 지식과 깊은 연관이 있기 떄문이다. 사냥,농경과 같은일부터 최근의 환경 문제, 경제현상 등을 설명하기 까지 유용하게 사용된다.",F,
38,지질학에 대해 설명해 주세요.,"지각을 구성하는 지질을 다루는 학문으로 독립적인 학문 분야로 인정받고 있다. 주로 물리학과 화학만 연관되며 지구과학과 생물학과는 연관성이 전무하다. 또한 지층구조,성인,형성메키너즘을 단독적으로 연구하기도 하는 복합적인 학문분야이다.",F,
38,지질학에 대해 설명해 주세요.,"지각을 물리학과 화학의 입장에서 연구하는 지구물리학과 지구화학 등은 지질과학으로서의 영역을 넓혀 주고 있습니다. 응용분야에는 광상·탄전·유전의 발견과 개발에 필요한 광상학 및 에너지지질학, 지하수의 조사와 관련된 지하수지질학, 터널 및 댐 건설 등 토목공사에 필요한 토목지질학, 토양의 형성과 관련된 농업지질학, 자연환경보존에 필요한 환경지질학 등이 있습니다.",P,에너지 지질학에 대해 설명해 주세요.
38,지각에 대해 설명해 주세요.,"지각은 지구를 구성하는 층서 중 가장 바깥 껍질에 해당하는 얇은 층입니다. 지각은 크게 대륙지각과 해양지각으로 구분할 수 있는데, 대륙지각은 지구 표면의 약 30%, 해양 지각은 약 70%를 차지합니다. 대부분의 대륙지각은 해수면으로부터 약 1 km 고도에 분포하며, 고산 지대의 경우 최대 약 8.5 km 높이에 이릅니다.",P,고산지대에 대해 설명해 주세요.
38,지각에 대해 설명해 주세요.,"대륙지각이 바다와 만나 해양지각으로 연장되는 중간 부분에는 대륙붕이 있는데, 이들은 수심 약 600 m 까지 이릅니다. 대부분의 해양지각은 수심 3 ~ 5 km 범위에 분포하며 가장 깊은 곳은 마리아나 해구로 수심 약 11 km에 이릅니다. 지각을 구성하는 물질, 연대, 구조에는 지역에 따라 많은 차이를 보입니다.",P,마리아나 해구에 대해 설명해 주세요.
38,지각에 대해 설명해 주세요.,지각이란 지구를 구성하는 층 중 두 번째 있는 층으로 굉장히 두껍고 고체상태로 존재한다. 지각은 행성이라면 반드시 존재하게 되는데 주로 핵을 감싸 보호하는 역할을 하며 핵에서 용융이 발생함에 따라서 형성된 것으로 지구의 용융이 언제 생겼는지 파악가능하다.,F,
38,지각에 대해 설명해 주세요.,"지각은 지구의 가장 바깥쪽에서 지구를 감싸고 있는 것으로 과거에는 대륙지각과 해양지각으로 분류하였지만 지각 그자체의 특성은 두 지각이 동일하기 떄문에 현재는 지각이라는 단어로 통합하여 설명되고 있으며, 대부분의 지각은 폭이 1km~8.5km 정도로 구성되어있다.",F,
38,지각에 대해 설명해 주세요.,일반적으로 대륙지각은 해양지각에 비해 얕은 특징을 지닌다. 대륙 지각은 평균 두께가 15~20km이지만 지역에 따라 변화가 있으며 특히 산악 지형의 경우 산악이 지각에 포함되지 않으므로 다른 지역보다 지각의 두께가 낮은 특징을 지니고 있다.,F,
